<<<<<<< HEAD
"MonthYear","Year","Month","Region","DissAmmonia","DissNitrate","DissNitrateNitrite","DissOrthophos","DON","TKN","TotPhos","Temperature","Salinity","Turbidity","DissolvedOxygen","Chlorophyll","pH","Microcystis","Sac_Inflow","SJR_Inflow","Total_Inflow","Clam_Turnover","Clam_Filtration","CorbiculaBiomass","PotamocorbulaBiomass"
"Dec-2014",2014,12,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,13.706,6.46160947288368,24.0285714285714,6.75333333333333,0.88,7.38858739286964,1,1025050,37582,1164565,NA,NA,NA,NA
"Jan-2015",2015,1,"Confluence",0.17,2.7,0.63875,0.0725,0.383333333333333,0.75,0.1275,9.50580951309962,0.845193282510503,41.0818181058506,9.86204545454545,0.791176469185773,7.60502444500272,NA,332730,27417,387353,0.23,0.293333333333333,8.79333333333333,0.0533333333333333
"Jan-2015",2015,1,"North",0.248571428571429,2.872,0.634642857142857,0.145357142857143,0.466666666666667,0.921428571428571,0.228214285714286,9.93712761046539,0.29703465233684,38.874507057975,9.51014084507042,4.01909078771418,8.25963945847641,NA,332730,27417,387353,NA,NA,NA,NA
"Jan-2015",2015,1,"SouthCentral",0.118333333333333,6.26,1.04777777777778,0.0883333333333333,0.553846153846154,1,0.147222222222222,9.65961539837384,0.296995572570461,10.4704444296896,9.68916666666667,1.61744186046512,7.57301438825023,NA,332730,27417,387353,0.0633333333333333,0.0666666666666667,2.19,0
"Jan-2015",2015,1,"Suisun Bay",0.156666666666667,NA,0.456666666666667,0.0666666666666667,0.466666666666667,0.8,0.136666666666667,10.3075862397819,6.04059304391675,36.0578945762233,8.86666666666667,0.943333333333333,7.70330781488395,NA,332730,27417,387353,0.53,0.615,0,2.29
"Jan-2015",2015,1,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,10.2395652339769,2.85836432252943,41.4454548228871,9.01083333333333,6.225,7.56474101066346,NA,332730,27417,387353,NA,NA,NA,NA
"Feb-2015",2015,2,"Confluence",0.212857142857143,2.9,0.601428571428571,0.0685714285714286,0.34,0.771428571428571,0.134285714285714,12.8282856961905,0.709142613253055,46.214772624284,8.98744186046512,1.73125,7.55815868345286,NA,500340,25538,583723,0.33,0.476666666666667,14.1733333333333,0.0933333333333333
"Feb-2015",2015,2,"North",0.192941176470588,2.29333333333333,0.483529411764706,0.109411764705882,0.4,0.805882352941176,0.177647058823529,13.3324324247198,0.279194411810611,110.787857183731,9.04709677419355,2.11,8.05509045464789,NA,500340,25538,583723,NA,NA,NA,NA
"Feb-2015",2015,2,"SouthCentral",0.115,4.31666666666667,1.0675,0.100625,0.54,0.9125,0.158125,13.4379746931925,0.325182500287849,12.0365671698214,9.59705882352941,5.99444444444444,7.65227291741432,NA,500340,25538,583723,0.0266666666666667,0.0266666666666667,0.84,0
"Feb-2015",2015,2,"Suisun Bay",0.206666666666667,NA,0.506666666666667,0.07,0.3,0.766666666666667,0.143333333333333,13.1222580522107,7.20780540577917,26.6238095328921,8.6,1.64333333333333,7.69235837026785,NA,500340,25538,583723,0.435,0.48,0,1.2
